idPNMain,PNG,Name,RAJ2000,DECJ2000,MajDiam,MinDiam
2316,009.4-01.2,"PHR J1811-2123",18:11:10.6,-21:23:13.81,17.5,15.0
2317,009.5-02.4,"PHR J1816-2152",18:16:09.1,-21:52:13.19,40.0,36.0
2319,009.7-01.1,"PHR J1811-2102",18:11:41.2,-21:02:28.50,11.0,11.0
2320,009.8-01.1,"PHR J1811-2100",18:11:39.0,-21:00:44.32,32.0,12.0
2321,009.9-04.3,"PHR J1824-2226",18:24:07.5,-22:26:13.85,40.0,40.0
2322,009.9+04.5,"PHR J1750-1803",17:50:47.3,-18:03:29.52,36.0,19.0
2323,010.1+04.4,"PTB 30",17:51:46.5,-18:04:09.05,28.0,27.0
2325,010.0-01.5,"Sab 88",18:13:35.4,-20:57:04.61,17.0,10.0
2327,010.2+00.3,"PHR J1806-1956",18:06:55.3,-19:56:18.20,61.0,50.0
2328,010.2+02.4,"PHR J1759-1853",17:59:05.1,-18:53:22.09,13.0,9.0
2330,010.5-04.0,"PHR J1824-2144",18:24:13.2,-21:44:44.30,44.0,
2332,010.7-02.3,"MPA J1818-2044",18:18:04.4,-20:44:13.99,13.0,9.0
2333,011.0+01.4,"PHR J1804-1842",18:04:29.2,-18:42:40.93,18.5,16.5
2334,011.0-02.9,"PTB 31",18:20:53.84,-20:48:12.4,14.0,12.0
2335,011.0-06.4,"MPA J1834-2222",18:34:27.5,-22:22:06.20,58.0,55.0
2336,011.2-02.7,"Sab 86",18:20:35.7,-20:30:24.98,38.0,38.0
2337,011.4-05.3,"PPA J1830-2130",18:30:42.2,-21:31:50.02,21.0,16.0
2339,011.8+03.7,"PHR J1757-1649",17:57:39.62,-16:49:19.7,42.0,34.0
2340,012.0+07.4,"PHR J1745-1453",17:45:07.4,-14:53:22.88,23.0,18.0
2341,012.1-02.6,"PTB 35",18:21:43.8,-19:39:47.99,15.0,10.0
2342,012.1-02.1,"PHR J1820-1926",18:20:17.6,-19:26:35.38,10.2,10.2
2343,012.1-11.2,"CGMW 4-3783",18:55:04.88,-23:28:12.7,20.5,18.0
2344,012.1+02.8,"PHR J1801-1701",18:01:55.7,-17:01:51.85,22.0,19.5
2345,012.2-01.9,"PHR J1819-1916",18:19:22.3,-19:16:10.09,39.3,
2347,012.5+04.3,"PHR J1757-1556",17:57:10.5,-15:56:18.10,29.0,25.0
2350,012.9+06.6,"BMP J1749-1429",17:49:39.7,-14:29:17.74,67.0,52.0
2353,012.9+03.3,"PHR J1801-1602",18:01:34.8,-16:02:18.89,51.0,33.0
2354,013.1+05.0,"Sa 3-96",17:55:46.4,-15:02:43.30,21.0,14.0
2355,013.2-05.0,"PHR J1832-1949",18:32:45.9,-19:49:28.92,21.0,20.0
2357,013.4+08.8,"PHR J1742-1256",17:42:57.9,-12:56:48.12,36.0,36.0
2358,013.4-02.9,"PHR J1825-1839",18:25:35.5,-18:39:43.92,30.5,28.0
2359,013.7-04.7,"PTB 37",18:32:34.6,-19:14:07.01,15.8,
2360,014.2+03.8,"PM 1-205",18:02:38.29,-14:42:02.9,19.0,19.0
2362,014.6+02.3,"PHR J1808-1506",18:08:31.9,-15:06:37.94,29.0,26.0
2363,014.6+01.0,"PHR J1813-1543",18:13:29.0,-15:43:18.80,27.0,21.0
2364,014.7+04.8,"PHR J1759-1350",17:59:45.3,-13:50:14.50,65.0,62.0
2366,014.8-08.4,"SB 20",18:49:24.18,-19:52:13.4,19.0,17.0
2370,015.5-00.0,"PHR J1818-1526",18:18:59.2,-15:26:21.08,55.0,11.0
2371,015.5+06.0,"PHR J1757-1230",17:57:07.4,-12:30:02.95,15.0,13.0
2372,016.0-07.6,"SB 21",18:48:11.07,-18:29:36.7,24.6,24.0
2373,016.3-02.3,"PHR J1828-1549",18:28:55.8,-15:49:18.01,69.0,62.0
2374,016.4-00.9,"PHR J1824-1505",18:24:02.1,-15:05:33.11,30.0,18.0
