idPNMain,PNG,Name,RAJ2000,DECJ2000,MajDiam,MinDiam
752,215.2-24.2,"IC 418",05:27:28.2,-12:41:50.24,14.0,11.0
756,216.0-00.2,"Abell 18",06:56:14.44,-02:53:08.1,80.0,67.0
757,216.3-04.4,"We 1-5",06:41:34.59,-05:02:35.6,24.0,24.0
759,217.4+02.0,"St 3-1",07:06:50.87,-03:05:09.0,15.0,
760,218.9-10.7,"HaWe 7",06:23:37.15,-10:13:23.9,94.0,
765,221.7+05.3,"M 3-3",07:26:34.2,-05:21:52.16,25.0,
767,224.9+01.0,"We 1-6",07:17:25.9,-10:10:33.74,95.0,62.0
768,226.4-03.7,"PB 1",07:02:46.76,-13:42:35.5,10.6,9.5
771,228.5-11.4,"KLSS 1-7",06:37:39.1,-18:57:23.18,34.0,30.0
773,229.6-02.7,"K 1-10",07:12:35.5,-16:05:59.71,62.0,48.0
774,231.4+04.3,"M 1-18",07:42:04.1,-14:21:16.92,34.9,32.9
775,231.8+04.1,"NGC 2438",07:41:50.52,-14:44:07.5,80.7,78.3
777,232.4-01.8,"M 1-13",07:21:15.0,-18:08:36.92,27.0,
779,233.5-16.3,"Abell 15",06:27:02.0,-25:22:49.80,36.6,34.7
780,234.8+02.4,"NGC 2440",07:41:55.38,-18:12:31.3,72.0,
785,236.7+03.5,"K 1-12",07:50:11.5,-19:18:16.09,44.1,36.4
788,238.9+07.3,"Sa 2-21",08:08:44.3,-19:14:01.10,40.3,34.4
789,239.6+13.9,"NGC 2610",08:33:23.42,-16:08:57.8,49.7,47.6
790,239.6-12.0,"ESO 427-19",06:55:12.2,-29:07:28.52,24.5,24.5
791,240.3+07.0,"Y-C 2-5",08:10:41.6,-20:31:32.16,14.0,
792,240.3-07.6,"M 3-2",07:14:49.76,-27:50:23.3,40.0,
793,241.0+02.3,"M 3-4",07:55:11.40,-23:38:12.6,33.0,30.0
795,242.6-11.6,"M 3-1",07:02:49.9,-31:35:30.12,12.6,10.8
796,243.3-01.0,"NGC 2452",07:47:26.2,-27:20:07.15,33.0,
797,243.8-37.1,"PRTM 1",05:03:01.7,-39:45:44.46,21.3,20.5
803,249.3-05.4,"Abell 23",07:43:18.2,-34:45:11.52,51.5,
804,250.3+00.1,"Abell 26",08:09:01.6,-32:40:24.92,37.5,36.7
805,251.1+00.7,"WRAY 17-15",08:13:21.5,-33:01:03.43,25.8,
806,251.1-01.5,"K 1-21",08:04:14.4,-34:16:00.12,28.0,28.0
807,251.9-03.7,"CSST 1",07:57:06.5,-36:06:49.97,10.5,
808,252.6+04.4,"Abell 27",08:31:52.6,-32:06:08.68,51.3,47.5
810,253.9+05.7,"M 3-6",08:40:40.2,-32:22:33.20,16.0,
814,255.7+03.3,"Wray 16-22",08:36:16.6,-35:15:01.44,20.0,20.0
817,257.8-05.4,"KLSS 1-10",08:05:33.7,-41:56:17.30,48.0,0.0
821,260.1+00.2,"Vo 3",08:37:24.6,-40:38:07.48,14.0,13.0
824,261.0+32.0,"NGC 3242",10:24:46.1,-18:38:32.24,31.5,30.7
825,261.6+03.0,"Hen 2-15",08:53:30.92,-40:03:42.0,93.0,
826,261.9+08.5,"NGC 2818",09:16:01.7,-36:37:38.75,56.2,46.0
827,262.6-04.6,"Wray 17-18",08:23:53.80,-45:31:09.4,17.2,16.8
829,263.3-08.8,"ESO 209-15",08:05:11.0,-48:23:31.88,20.0,
830,264.1-08.1,"Hen 2-7",08:11:31.88,-48:43:17.3,22.0,15.0
833,265.1-04.2,"LoTr 3",08:34:06.81,-47:16:38.5,28.0,28.0
835,265.7+04.1,"NGC 2792",09:12:26.62,-42:25:39.8,17.9,16.4
839,270.1+24.8,"K 1-28",10:34:30.6,-29:11:15.18,54.0,47.0
840,272.1+12.3,"NGC 3132",10:07:01.67,-40:26:12.2,86.0,60.0
842,273.2-03.7,"Hen 2-18",09:08:40.0,-53:19:13.91,16.4,13.7
845,274.3+09.1,"Lo 4",10:05:45.8,-44:21:33.26,41.6,38.9
847,274.6+03.5,"Hen 2-37",09:47:24.80,-48:58:14.7,26.1,22.1
848,275.0-04.1,"PB 4",09:15:07.7,-54:52:43.79,12.2,10.2
850,275.2-02.9,"Hen 2-28",09:22:06.8,-54:09:38.59,10.8,10.0
853,275.8-02.9,"Hen 2-29",09:24:45.83,-54:36:15.4,16.0,11.8
854,275.9-01.0,"NeVe 3-1",09:34:01.2,-53:11:58.49,40.0,40.0
855,277.1-03.8,"NGC 2899",09:27:03.1,-56:06:21.20,68.5,59.8
858,278.1-05.9,"NGC 2867",09:21:25.3,-58:18:40.68,14.4,13.9
859,278.5-04.5,"Hen 2-32",09:30:54.8,-57:36:52.88,45.0,36.0
861,278.8+04.9,"PB 6",10:13:15.9,-50:19:59.27,12.0,11.0
863,279.6-03.1,"Hen 2-36",09:43:25.62,-57:16:55.5,24.8,15.3
865,280.5+01.8,"KLSS 1-12",10:10:34.4,-53:56:06.68,41.0,36.0
868,282.9+03.8,"Hen 2-48",10:31:32.03,-53:33:30.1,32.6,
869,283.3+03.9,"Hen 2-50",10:34:19.0,-53:41:03.77,13.5,11.8
872,283.8-04.2,"Hen 2-39",10:03:49.2,-60:43:48.25,12.4,12.2
873,283.8+02.2,"My 60",10:31:33.42,-55:20:50.8,10.1,10.1
878,285.4-05.3,"IC 2553",10:09:20.9,-62:36:48.42,11.5,7.4
882,285.7-14.9,"IC 2448",09:07:06.3,-69:56:30.73,22.0,22.0
884,286.2-06.9,"Wray 17-40",10:06:59.6,-64:21:49.97,74.0,72.0
885,286.3-04.8,"NGC 3211",10:17:50.3,-62:40:14.45,16.1,15.9
886,286.3+02.8,"Hen 2-55",10:48:43.22,-56:03:09.6,18.0,18.0
888,286.8-29.5,"K 1-27",05:57:02.1,-75:40:22.51,61.0,47.0
889,288.4-02.4,"Pe 1-3",10:44:31.1,-61:39:38.48,10.9,8.8
890,288.7+08.1,"ESO 216-2",11:18:09.7,-52:10:02.32,36.0,28.0
895,290.1-00.4,"Hf 48",11:03:56.0,-60:36:04.57,22.0,19.0
896,290.5+07.9,"Fg 1",11:28:36.2,-52:56:04.02,55.0,40.0
900,291.4+19.2,"LoTr 4",11:52:29.23,-42:17:38.7,30.4,27.2
905,292.6+01.2,"NGC 3699",11:27:57.7,-59:57:27.72,47.0,37.0
906,292.7+01.9,"Wray 16-93",11:30:48.48,-59:17:05.9,11.0,8.0
908,293.6+01.2,"Hen 2-70",11:35:10.96,-60:17:01.0,34.6,13.6
909,293.6+10.9,"BlDz 1",11:53:06.5,-50:50:56.65,94.0,94.0
911,294.1+14.4,"Lo 6",12:00:43.08,-47:33:10.8,77.0,74.4
912,294.6+04.7,"NGC 3918",11:50:17.7,-57:10:56.89,18.7,17.1
914,294.9-00.6,"Hf 69",11:41:37.28,-62:28:54.8,65.0,62.0
918,296.6-20.0,"NGC 3195",10:09:20.84,-80:51:30.3,39.5,33.8
921,298.2-01.7,"Hen 2-76",12:08:25.4,-64:12:09.32,20.5,16.0
922,298.3+06.6,"Po 1",12:18:32.74,-55:54:04.6,22.0,
923,298.3-04.8,"NGC 4071",12:04:14.68,-67:18:36.5,72.4,52.7
924,299.0+18.4,"K 1-23",12:30:52.5,-44:14:15.90,64.3,56.4
925,299.4-04.1,"HaTr 1",12:16:31.23,-66:45:45.0,70.0,67.0
928,300.4-00.9,"Hen 2-84",12:28:46.85,-63:44:37.1,35.8,23.7
931,300.8-03.4,"ESO 95-12",12:30:24.5,-66:14:25.80,18.0,
933,302.2+02.5,"Wray 16-120",12:45:54.5,-60:20:15.58,15.5,12.5
935,302.6-00.9,"VBRC 4",12:48:31.6,-63:49:59.59,65.0,42.0
937,304.2+05.9,"Wray 16-122",13:00:41.22,-56:53:40.5,36.0,36.0
941,305.6-13.1,"ESO 40-11",13:34:14.1,-75:46:31.33,70.0,60.0
942,305.7-03.4,"Wray 17-59",13:19:29.9,-66:09:08.06,24.0,
943,306.4-00.6,"Th 2-A",13:22:33.95,-63:21:02.0,27.3,24.8
946,307.3+05.0,"Wray 16-128",13:24:21.9,-57:31:19.31,18.0,
947,307.5-04.9,"MyCn 18",13:39:35.04,-67:22:51.8,17.3,9.8
948,307.5-03.6,"WKG 1",13:37:32.2,-66:08:39.48,25.8,
949,308.2+07.7,"MeWe 1-3",13:28:04.92,-54:41:58.9,19.0,19.0
950,308.4+00.4,"WRAY 17-62",13:38:42.6,-61:55:47.28,34.9,
952,308.6-12.2,"Hen 2-105",14:15:24.8,-74:12:46.58,41.5,40.7
953,309.0-04.2,"Hen 2-99",13:52:30.7,-66:23:26.48,27.9,23.4
955,309.1-04.3,"NGC 5315",13:53:57.0,-66:30:50.94,10.7,9.2
956,309.2+01.3,"VBRC 5",13:44:00.0,-60:49:46.85,93.0,
957,309.5-02.9,"MaC 1-2",13:54:27.4,-64:59:32.17,11.2,
960,310.6+01.4,"WKG 3",13:54:24.62,-60:27:22.3,56.1,
961,310.8-05.9,"LoTr 7",14:15:24.14,-67:31:54.7,16.0,
962,311.0+02.4,"SuWt 2",13:55:43.2,-59:22:40.01,86.5,43.4
964,311.4+02.8,"Hen 2-102",13:58:13.9,-58:54:31.79,11.7,11.3
965,312.3+10.5,"NGC 5307",13:51:03.3,-51:12:20.63,18.8,12.9
966,312.6-01.8,"Hen 2-107",14:18:43.3,-63:07:09.48,10.7,8.3
975,315.4+05.2,"Hen 2-109",14:20:48.9,-55:27:59.22,11.0,7.5
978,315.7-01.2,"LoTr 9",14:41:17.80,-61:19:54.4,28.0,
979,315.7+05.5,"LoTr 8",14:21:59.93,-55:02:16.9,28.4,25.1
980,316.1+08.4,"Hen 2-108",14:18:08.9,-52:10:39.76,13.6,12.3
982,316.3-01.3,"LoTr 10",14:46:19.9,-61:13:34.82,42.0,
984,317.8+03.3,"WRAY 17-68",14:41:35.8,-56:15:11.70,67.0,52.0
985,318.3-02.5,"Hen 2-116",15:06:01.87,-61:21:20.6,47.9,46.7
986,318.3-02.0,"Hen 2-114",15:04:08.61,-60:53:20.2,26.1,21.4
987,318.4-03.0,"ESO 135-04",15:08:43.57,-61:44:13.5,43.6,
990,319.6+15.7,"IC 4406",14:22:26.2,-44:09:02.41,46.4,29.9
994,321.0-03.8,"HaTr 2",15:30:18.58,-61:01:39.3,12.0,
995,321.0+08.3,"MeWe 1-5",14:46:35.10,-50:23:24.7,34.0,28.0
1000,321.8+01.9,"Hen 2-120",15:11:56.24,-55:39:46.7,36.1,26.5
1003,322.4-02.6,"Mz 1",15:34:16.63,-59:09:08.2,49.3,35.3
1004,322.5-05.2,"NGC 5979",15:47:41.17,-61:13:05.6,20.2,19.1
1005,323.1-02.5,"Hen 2-132",15:38:01.22,-58:44:42.5,20.8,18.9
1006,323.9+02.4,"Hen 2-123",15:22:19.4,-54:08:12.77,36.5,
1007,324.0+03.5,"PM 1-89",15:19:08.7,-53:09:50.04,27.0,
1008,324.1+09.0,"ESO 223-10",15:01:40.7,-48:21:02.02,18.0,17.0
1012,325.4-04.0,"Hen 2-141",15:59:08.8,-58:23:51.72,38.0,
1016,326.1-01.9,"vBe 3",15:52:59.0,-56:24:25.92,12.0,10.0
1017,326.4+07.0,"NeVe 3-2",15:19:43.88,-48:59:54.9,36.0,30.0
1019,326.6+42.2,"IC 972",14:04:25.9,-17:13:40.84,47.0,47.0
1024,327.7-05.4,"KoRe 1",16:19:10.4,-57:58:54.84,14.2,14.2
1025,327.8+10.0,"NGC 5882",15:16:49.9,-45:38:58.60,41.0,
1026,327.8-07.2,"Hen 2-163",16:29:31.1,-59:09:24.52,22.1,21.8
1031,328.2+01.4,"Lo 10",15:49:29.1,-52:30:16.49,28.1,25.2
1034,329.0+01.9,"Sp 1",15:51:40.9,-51:31:28.38,72.0,72.0
1035,329.3-02.8,"Mz 2",16:14:32.40,-54:57:04.7,46.0,28.0
1039,330.6-03.6,"Hen 2-159",16:24:21.4,-54:36:02.81,18.0,13.0
1040,330.6-02.1,"Hen 2-153",16:17:14.3,-53:32:05.17,18.9,13.1
1042,330.9+04.3,"Wray 16-189",15:51:19.85,-48:26:07.6,20.0,11.0
1045,331.1-05.7,"PC 11",16:37:42.7,-55:42:26.50,45.0,
1049,331.4+00.5,"Pe 1-4",16:08:58.7,-51:01:56.64,16.8,15.5
1050,331.5-03.9,"Hen 2-165",16:29:59.71,-54:09:26.7,56.4,46.3
1051,331.5-02.7,"Hen 2-161",16:24:37.85,-53:22:33.9,16.3,9.7
1052,331.7-01.0,"Mz 3",16:17:13.39,-51:59:10.8,47.8,22.6
1053,332.0-03.3,"Hen 2-164",16:29:53.3,-53:23:14.35,17.0,15.3
1054,332.2+03.5,"Wra 16-199",16:00:22.0,-48:15:35.28,13.0,11.0
1057,332.8-16.4,"HaTr 6",17:51:52.82,-60:23:21.7,42.0,35.0
1060,334.3-01.4,"MeWe 1-6",16:31:06.54,-50:26:36.5,19.1,
1061,334.3-09.3,"IC 4642",17:11:45.2,-55:24:01.66,24.1,21.7
1062,334.8-07.4,"Hen 3-1312",17:03:02.9,-53:55:54.16,15.9,11.9
1063,335.2-03.6,"HaTr 4",16:45:00.18,-51:12:21.1,26.0,23.0
1064,335.4+09.2,"K 1-31",15:53:12.44,-41:50:26.3,30.8,28.8
1065,335.4-01.1,"Hen 2-169",16:34:13.42,-49:21:12.1,33.0,19.0
1067,335.6-04.0,"MeWe 1-8",16:48:40.08,-51:09:19.6,24.0,
1070,336.2+01.9,"Pe 1-6",16:23:54.5,-46:42:14.15,10.2,8.7
1073,336.8-07.2,"K 2-17",17:09:35.9,-52:13:01.96,39.3,32.4
1075,336.9-11.5,"MeWe 1-10",17:34:28.20,-54:28:57.4,61.6,
1077,337.4-09.1,"Wray 16-266",17:22:37.0,-52:46:34.46,18.0,
1078,337.5-05.1,"Hen 2-187",17:01:37.0,-50:22:57.50,12.0,10.0
1079,337.6-04.2,"MeWe 1-9",16:57:29.1,-49:46:54.98,17.0,
1080,338.1-08.3,"NGC 6326",17:20:46.38,-51:45:15.5,20.6,13.7
1081,338.8+05.6,"IC 4599",16:19:23.21,-42:15:36.7,18.0,16.0
1084,340.4-14.1,"Sa 1-6",18:00:59.4,-52:44:20.15,11.0,
1085,340.8+10.8,"Lo 12",16:08:26.32,-37:08:47.5,84.5,70.0
1086,340.8+12.3,"Lo 11",16:03:22.2,-36:00:53.71,65.7,57.0
1088,341.0+09.4,"SB 25",16:13:38.3,-37:59:58.49,16.2,15.6
1089,341.2-24.6,"Lo 18",19:09:47.75,-55:35:10.7,55.0,41.0
1092,341.6+13.7,"NGC 6026",16:01:21.1,-34:32:36.64,53.0,45.5
1093,341.7-06.0,"SB 26",17:21:02.9,-47:35:27.31,11.4,11.4
1094,341.8+05.4,"NGC 6153",16:31:30.5,-40:15:12.60,27.0,24.2
1097,342.1+10.8,"NGC 6072",16:12:58.37,-36:13:47.4,74.3,65.1
1100,342.5-14.3,"Sp 3",18:07:15.8,-51:01:10.2,36.0,35.0
1101,342.7+00.7,"H 1-3",16:53:31.3,-42:39:22.39,19.0,16.0
1103,342.9-02.0,"Pe 1-8",17:06:22.6,-44:13:09.95,23.0,22.0
1104,342.9-04.9,"Hen 2-207",17:19:32.6,-45:53:15.04,37.7,26.0
1108,343.6+03.7,"SuWt 3",16:44:24.14,-40:03:20.4,31.9,16.3
1110,343.9-05.8,"SB 30",17:27:02.3,-45:32:38.47,12.6,12.0
1112,344.2-01.2,"H 1-6",17:06:59.1,-42:41:09.13,14.0,
1115,344.5+02.6,"Vd 1-5",16:51:33.7,-40:02:55.64,11.6,
1116,344.8+03.4,"Vd 1-3",16:49:32.9,-39:21:08.96,12.0,
1121,345.2-08.8,"IC 1266",17:45:35.3,-46:05:23.82,12.9,12.2
1122,345.2-01.2,"H 1-7",17:10:27.4,-41:52:49.40,10.6,8.7
1123,345.3-10.2,"MeWe 1-11",17:52:47.06,-46:41:59.4,69.0,69.0
1124,345.4+00.1,"IC 4637",17:05:10.5,-40:53:08.45,18.9,13.5
1125,345.5+15.1,"Lo 13",16:09:45.9,-30:55:07.64,75.0,72.0
1127,345.9+03.0,"Vd 1-6",16:54:27.3,-38:44:10.39,16.0,10.0
1130,346.2-08.2,"IC 4663",17:45:28.6,-44:54:18.00,19.5,16.0
1135,347.9-06.0,"SB 31",17:40:03.3,-42:24:05.58,16.8,13.8
1136,348.0-13.8,"IC 4699",18:18:32.0,-45:59:01.72,12.6,8.0
1137,348.0+06.3,"WRAY 15-1537",16:48:48.5,-35:00:57.38,10.7,
1140,348.9+04.6,"KLSS 1-15",16:57:57.1,-35:24:54.14,19.0,
1141,349.2-03.5,"H 2-14",17:32:20.1,-39:51:22.25,14.0,
1142,349.3-01.1,"NGC 6337",17:22:15.7,-38:29:00.20,47.6,46.5
1143,349.3-04.2,"Lo 16",17:35:41.8,-40:11:26.20,88.0,80.0
1146,350.1-03.9,"H 1-26",17:36:29.9,-39:21:56.56,23.4,18.0
1153,351.2-06.3,"SB 33",17:50:27.6,-39:40:16.36,22.2,18.0
1155,351.5-06.5,"SB 34",17:52:09.4,-39:32:14.53,22.8,21.0
1165,352.6-04.9,"SB 37",17:47:52.7,-37:48:03.10,13.2,10.8
1167,352.7-08.4,"SB 38",18:03:29.2,-39:21:28.19,15.6,14.4
1168,352.8-00.2,"H 1-13",17:28:27.58,-35:07:31.7,13.5,12.0
1169,352.9+11.4,"K 2-16",16:44:49.05,-28:04:04.7,26.6,24.3
1171,353.2-05.2,"H 1-38",17:50:45.2,-37:23:53.09,14.0,12.0
1173,353.3-08.3,"SB 39",18:04:31.6,-38:47:39.70,103.2,95.4
1175,353.4-04.5,"K 6-13",17:48:00.9,-36:50:08.02,13.7,
1177,353.6-03.6,"K 6-11",17:44:35.6,-36:14:02.15,12.8,
1179,353.7-12.8,"Wray 16-411",18:26:41.8,-40:29:52.51,30.0,30.0
1183,354.4-07.8,"H 1-52",18:04:57.6,-37:38:07.94,15.0,
1185,354.5+03.3,"Th 3-4",17:18:51.9,-31:39:06.34,14.0,
1186,354.6+04.9,"Terz N 139",17:12:53.4,-30:40:08.36,16.2,
1187,354.7-10.0,"SB 41",18:15:39.04,-38:27:56.5,25.8,23.4
1188,354.7-07.2,"SB 40",18:02:55.7,-37:08:13.96,20.4,18.6
1190,355.0-03.7,"K 5-18",17:48:29.5,-35:05:29.18,11.1,10.0
1192,355.1+04.7,"Terz N 140",17:15:02.6,-30:20:32.64,46.0,34.0
1195,355.2+03.7,"Terz N 137",17:19:03.4,-30:53:53.38,13.3,10.5
1197,355.3-07.5,"SB 42",18:05:52.5,-36:45:36.54,21.0,21.0
1201,355.4-04.0,"Hf 2-1",17:51:12.2,-34:55:22.80,25.0,
1206,355.8-08.7,"SB 43",18:12:23.6,-36:52:51.85,42.0,40.2
1210,356.0-07.4b,"SB 45",18:06:52.5,-36:06:41.00,22.2,22.2
1211,356.0-07.4a,"SB 44",18:07:07.8,-36:02:45.82,28.2,25.8
1214,356.1-08.6,"SB 46",18:12:39.9,-36:31:49.15,14.4,14.4
1216,356.3-07.3,"SB 47",18:07:21.5,-35:45:44.03,30.6,28.8
1218,356.4-06.8,"SB 48",18:05:14.4,-35:28:07.54,15.0,13.8
1223,356.5+05.1,"Th 3-3",17:17:20.5,-28:59:28.14,17.0,
1224,356.6-07.8,"H 1-57",18:09:49.2,-35:44:12.88,12.6,
1225,356.7-04.8,"H 1-41",17:57:19.1,-34:09:49.10,12.0,8.8
1226,356.7-06.4,"H 1-51",18:04:29.3,-34:58:00.98,17.7,15.2
1241,357.2-09.8,"SB 49",18:20:09.2,-36:07:21.07,29.4,29.4
1245,357.3-06.5,"SB 50",18:06:08.3,-34:33:30.71,24.6,22.8
1249,357.4-07.2,"SB 51",18:09:16.8,-34:47:49.56,45.6,33.0
1256,357.6-03.3,"H 2-29",17:53:16.8,-32:40:38.57,10.7,9.8
1257,357.6+01.0,"Terz N 21",17:35:43.5,-30:21:26.42,31.5,26.8
1259,357.9-03.8,"H 2-30",17:56:13.9,-32:37:22.08,13.3,13.3
1262,358.0+07.5,"Terz N 8",17:12:33.6,-26:25:21.36,31.0,21.0
1264,358.2-01.1,"Bl D",17:46:02.77,-31:03:38.0,23.2,
1267,358.3-21.6,"IC 1297",19:17:23.5,-39:36:46.40,10.8,9.8
1274,358.5-07.3,"NGC 6563",18:12:02.8,-33:52:07.14,92.0,
1278,358.5+05.4,"M 3-39",17:21:11.5,-27:11:37.03,25.9,18.1
1279,358.5+02.6,"M 3-57",17:31:47.37,-28:42:02.6,40.0,36.0
1281,358.6-05.5,"M 3-51",18:04:56.2,-32:54:01.22,20.9,14.5
1287,358.7-05.1,"SB 53",18:03:28.5,-32:37:25.97,16.8,14.4
1291,358.8+04.1,"SaWe 2",17:27:00.35,-27:40:34.1,45.0,
1301,359.0-04.8,"M 2-25",18:02:46.6,-32:09:29.38,17.7,13.4
1302,359.1-02.9,"M 3-46",17:55:05.7,-31:12:16.85,15.5,
1304,359.1+15.1,"Abell 40",16:48:34.5,-21:00:50.54,34.3,30.4
1306,359.2+01.2,19W32,17:39:02.9,-28:56:35.09,23.6,5.5
1307,359.2-33.5,"Hen 3-1863",20:19:28.7,-41:31:27.48,17.0,13.0
1309,359.3-00.9,"Hb 5",17:47:56.20,-29:59:39.7,62.0,
1311,359.3-06.0,"SB 54",18:08:31.4,-32:29:59.64,35.4,30.0
1315,359.4-08.5,"SB 55",18:19:26.59,-33:37:07.1,16.2,13.8
1319,359.6-04.8,"H 2-36",18:04:07.7,-31:39:10.66,17.7,14.5
1323,359.7-04.4,"KFL 3",18:02:52.8,-31:23:58.13,15.2,14.3
1328,359.8+05.2,"Terz N 19",17:25:23.6,-26:11:53.02,19.0,
1331,359.9+05.1,"M 3-9",17:25:43.37,-26:11:55.5,17.2,15.1
1332,359.9-05.4,"KFL 9",18:07:19.3,-31:42:56.12,11.8,
2055,000.0-01.8,"PHR J1752-2953",17:52:58.37,-29:53:22.89,17.0,14.5
2056,000.0-02.1,"MPA J1754-2957",17:54:04.3,-29:57:27.11,16.0,16.0
2057,000.0-01.3,"PPA J1751-2933",17:51:00.4,-29:33:50.98,12.0,10.0
2058,000.1+01.9,"PHR J1738-2748",17:38:16.3,-27:48:07.88,13.0,12.0
2059,000.1+02.0,"PHR J1738-2746",17:38:03.1,-27:46:17.76,16.0,16.0
2060,000.1+05.7,"PHR J1724-2543",17:24:04.3,-25:43:13.94,11.0,10.0
2061,000.1-01.7,"JaSt 85",17:52:48.9,-29:41:59.03,16.7,12.2
2062,000.2-03.4,"PHR J1759-3030",17:59:47.5,-30:30:32.40,19.0,14.0
2063,000.3+07.3,"PHR J1718-2441",17:18:42.8,-24:41:24.97,23.0,21.0
2064,000.3+04.5,"PHR J1729-2614",17:29:07.3,-26:14:44.95,17.0,9.0
2069,000.3-04.2a,"MPA J1803-3046",18:03:25.8,-30:46:25.14,18.0,18.0
2070,000.3+03.4,"PHR J1733-2647",17:33:27.4,-26:48:00.36,15.0,14.0
2071,000.3+05.6,"PHR J1725-2534",17:25:13.1,-25:34:16.07,16.0,15.0
2072,000.3-04.2,"MPA J1803-3043",18:03:21.7,-30:43:35.72,36.0,36.0
2074,000.5-03.1a,"MPA J1759-3007",17:59:25.19,-30:07:18.2,66.0,
2075,000.5+02.8,"PHR J1735-2659",17:35:55.6,-26:59:16.91,23.0,23.0
2076,000.6-03.2,"MPA J1759-3004",17:59:56.7,-30:04:27.95,28.0,28.0
2077,000.6+03.1,"PHR J1734-2644",17:34:55.9,-26:44:16.44,15.0,15.0
2078,000.6-01.4,"JaSt 88",17:53:00.7,-29:05:52.87,14.0,13.0
2079,000.7+08.0,"MPA J1717-2356",17:17:09.0,-23:56:29.26,12.0,10.0
2080,000.8-05.7,"PPA J1810-3104",18:10:24.5,-31:04:04.44,31.0,28.0
2081,000.9+02.1,"MPA J1739-2702",17:39:30.1,-27:02:02.04,18.0,13.0
2085,000.9-03.3,"PHR J1801-2947",18:01:13.4,-29:47:00.10,35.1,31.2
2087,001.0-01.9,"K 6-35",17:55:43.2,-29:04:03.72,14.5,12.5
2090,001.1-01.2,"JaSt 2-10",17:53:17.4,-28:36:07.16,11.5,10.0
2092,001.2-02.0,"JaSt 2-20",17:56:36.2,-28:57:18.36,23.0,15.0
2093,001.2-05.6,"PHR J1811-3042",18:11:02.7,-30:42:11.92,32.0,23.0
2094,001.2-02.6,"PHR J1759-2915",17:59:02.8,-29:15:00.97,33.0,33.0
2095,001.2-03.8,"PHR J1803-2947",18:03:29.8,-29:46:57.36,47.0,40.0
2097,001.4-04.4,"BMP J1806-2958",18:06:39.1,-29:58:52.79,28.0,25.0
2098,001.4+06.3,"Bica 1",17:24:53.8,-24:19:20.89,55.0,37.0
2099,001.4+04.3,"PHR J1732-2522",17:32:27.1,-25:22:48.86,11.0,11.0
2101,001.5-02.4,"PHR J1758-2852",17:58:49.2,-28:52:55.92,14.0,13.0
2102,001.5+03.1,"PHR J1737-2559",17:37:16.5,-25:59:37.90,14.4,
2104,001.6-02.6,"PHR J1759-2853",17:59:58.90,-28:53:56.8,25.0,22.0
2105,001.6-00.6,"Sab 44",17:51:55.7,-27:48:02.88,25.0,
2106,001.6+01.6,"MPA J1743-2636",17:43:06.8,-26:36:30.20,22.0,8.0
2107,001.7-02.6,"PPA J1800-2846",18:00:00.6,-28:46:27.05,16.5,13.0
2109,001.8-05.0,"PHR J1809-2952",18:09:46.9,-29:52:53.83,16.0,12.0
2110,001.8-02.0,"PHR J1757-2824",17:57:42.2,-28:24:07.06,19.3,8.0
2112,001.8-03.2,"MPA J1802-2900",18:02:50.2,-29:00:20.05,20.0,20.0
2113,001.8-02.7,"PHR J1800-2842",18:00:36.0,-28:42:50.29,11.3,10.1
2114,001.9-02.5,"PPA J1759-2834",17:59:52.68,-28:34:47.6,15.6,13.5
2115,001.9+02.1,"PHR J1741-2609",17:41:44.7,-26:09:19.94,13.5,11.0
2117,002.0-03.4,"PPA J1803-2855",18:03:37.9,-28:55:41.63,16.0,13.5
2119,002.0-03.1,"PHR J1802-2847",18:02:48.5,-28:47:40.99,18.5,17.0
2120,002.0+01.5,"PHR J1744-2624",17:44:33.5,-26:24:53.96,16.0,12.0
2121,002.0+06.2,"PHR J1726-2351",17:26:54.4,-23:51:27.94,22.0,21.0
2122,002.0-03.2,"PHR J1803-2848",18:03:10.3,-28:48:52.20,31.0,24.5
2123,002.0-02.4,"MPA J1800-2825",18:00:09.7,-28:25:25.07,11.0,11.0
2124,002.0-02.5,"PPA J1800-2826",18:00:18.7,-28:26:07.84,18.0,16.5
2125,002.0+06.6,"PHR J1725-2338",17:25:41.8,-23:38:31.92,13.5,10.0
2126,002.1-02.8,"PHR J1801-2831",18:01:32.3,-28:31:45.01,19.0,14.0
2129,002.1-04.1,"PHR J1806-2909",18:06:49.7,-29:09:59.15,28.0,26.0
2131,002.1+01.2,"MPA J1745-2626",17:45:54.9,-26:26:43.12,14.0,12.0
2133,002.1-02.4,"PPA J1800-2818",18:00:18.8,-28:18:34.85,16.0,12.0
2135,002.2-01.2,"PPA J1755-2739",17:55:45.5,-27:39:41.87,14.5,11.0
2137,002.2+05.8,"PHR J1729-2354",17:29:10.6,-23:54:30.24,12.0,9.0
2139,002.3-01.9,"PHR J1758-2756",17:58:35.1,-27:56:56.00,20.5,16.0
2140,002.3-05.9,"PPA J1814-2951",18:14:26.7,-29:51:47.02,14.0,12.0
2143,002.3-06.2,"PHR J1815-2957",18:15:45.1,-29:57:44.28,22.0,22.0
2146,002.3+06.5,"PPA J1726-2325",17:26:33.77,-23:25:14.5,18.0,
2148,002.4-05.0,"K 6-41",18:11:12.5,-29:22:00.05,23.5,21.0
2149,002.4+03.5,"PHR J1738-2500",17:38:00.3,-25:00:46.12,17.0,14.0
